# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# C player-facing segments no Go segment contains (port gaps).
# columns: segment	file:line	sink	function
You feel slightly different.	src/act.wizard.c:1556	act	do_advance
Your head seems to be filled with demons	src/act.wizard.c:1556	act	do_advance
begins to pulse with colored lights	src/act.wizard.c:1556	act	do_advance
from above, grabbing your body, that	src/act.wizard.c:1556	act	do_advance
from another plane as your body dissolves	src/act.wizard.c:1556	act	do_advance
from inside.	src/act.wizard.c:1556	act	do_advance
makes some strange gestures.	src/act.wizard.c:1556	act	do_advance
snaps you back to reality.	src/act.wizard.c:1556	act	do_advance
to the elements of time and space itself.	src/act.wizard.c:1556	act	do_advance
has advanced	src/act.wizard.c:1576	buffered:sprintf	do_advance
to level	src/act.wizard.c:1576	buffered:sprintf	do_advance
(GC) Connection closed by	src/act.wizard.c:1765	buffered:sprintf	do_dc
forced room	src/act.wizard.c:1884	buffered:sprintf	do_force
forced all to	src/act.wizard.c:1896	buffered:sprintf	do_force
Gods online:	src/act.wizard.c:1954	buffered:sprintf	do_wiznet
(Writing)	src/act.wizard.c:1959	buffered:sprintf	do_wiznet
(Writing mail)	src/act.wizard.c:1961	buffered:sprintf	do_wiznet
Gods offline:	src/act.wizard.c:1973	buffered:sprintf	do_wiznet
Someone: <	src/act.wizard.c:2001	buffered:sprintf	do_wiznet
Someone:	src/act.wizard.c:2006	buffered:sprintf	do_wiznet
reset entire world.	src/act.wizard.c:2050	buffered:sprintf	do_zreset
reset zone	src/act.wizard.c:2066	buffered:sprintf	do_zreset
has rerolled	src/act.wizard.c:2105	buffered:sprintf	do_wizutil
pardoned by	src/act.wizard.c:2120	buffered:sprintf	do_wizutil
A sudden cold wind conjured from nowhere freezes	src/act.wizard.c:2152	act	do_wizutil
frozen by	src/act.wizard.c:2153	buffered:sprintf	do_wizutil
un-frozen by	src/act.wizard.c:2167	buffered:sprintf	do_wizutil
A sudden fireball conjured from nowhere thaws	src/act.wizard.c:2172	act	do_wizutil
Un-tagged!	src/act.wizard.c:2178	send_to_char	do_wizutil
You're no longer it!	src/act.wizard.c:2179	send_to_char	do_wizutil
Un-vamped!	src/act.wizard.c:2188	send_to_char	do_wizutil
You're no longer a creature of the night!	src/act.wizard.c:2189	send_to_char	do_wizutil
Un-wered!	src/act.wizard.c:2196	send_to_char	do_wizutil
You're no longer a creature of the night!	src/act.wizard.c:2197	send_to_char	do_wizutil
There is a brief flash of light!	src/act.wizard.c:2203	send_to_char	do_wizutil
You feel slightly different.	src/act.wizard.c:2203	send_to_char	do_wizutil
; Reset:	src/act.wizard.c:2227	buffered:sprintf	print_zone_to_buf
Show options:	src/act.wizard.c:2274	buffered:strcpy	do_show
Lessons:	src/act.wizard.c:2337	buffered:sprintf	do_show
Started:	src/act.wizard.c:2344	buffered:sprintf	do_show
Current stats:	src/act.wizard.c:2374	buffered:sprintf	do_show
connected	src/act.wizard.c:2375	buffered:sprintf	do_show
players in game	src/act.wizard.c:2375	buffered:sprintf	do_show
registered	src/act.wizard.c:2376	buffered:sprintf	do_show
prototypes	src/act.wizard.c:2377	buffered:sprintf	do_show
prototypes	src/act.wizard.c:2379	buffered:sprintf	do_show
large bufs	src/act.wizard.c:2383	buffered:sprintf	do_show
buf switches	src/act.wizard.c:2384	buffered:sprintf	do_show
overflows	src/act.wizard.c:2384	buffered:sprintf	do_show
------------	src/act.wizard.c:2389	buffered:strcpy	do_show
Errant Rooms	src/act.wizard.c:2389	buffered:strcpy	do_show
-----------	src/act.wizard.c:2398	buffered:strcpy	do_show
Death Traps	src/act.wizard.c:2398	buffered:strcpy	do_show
Godrooms	src/act.wizard.c:2406	buffered:strcpy	do_show
Connections in zone	src/act.wizard.c:2473	buffered:sprintf	do_show
========================	src/act.wizard.c:2475	buffered:strcat	do_show
-------------	src/act.wizard.c:2493	buffered:strcpy	do_show
Neutral Rooms	src/act.wizard.c:2493	buffered:strcpy	do_show
's title is now:	src/act.wizard.c:2729	buffered:sprintf	do_set
Must be 'male', 'female', or 'neutral'.	src/act.wizard.c:2818	send_to_char	do_set
You aren't godly enough for that!	src/act.wizard.c:2845	send_to_char	do_set
You aren't godly enough for that!	src/act.wizard.c:2852	send_to_char	do_set
Better not -- could be a long winter!	src/act.wizard.c:2859	send_to_char	do_set
now off.	src/act.wizard.c:2873	buffered:sprintf	do_set
Must be 'off' or a value from 0 to 48.	src/act.wizard.c:2881	send_to_char	do_set
That is not a class.	src/act.wizard.c:2936	send_to_char	do_set
will enter at room #	src/act.wizard.c:2955	buffered:sprintf	do_set
That room does not exist!	src/act.wizard.c:2958	buffered:sprintf	do_set
Must be 'off' or a room's virtual number.	src/act.wizard.c:2961	buffered:strcpy	do_set
You must use set file with this command.	src/act.wizard.c:2975	send_to_char	do_set
The player *must* not be logged in when this command is run.	src/act.wizard.c:2976	send_to_char	do_set
Assuming the player is not logged in, this will not take effect if they are.	src/act.wizard.c:2985	send_to_char	do_set
Password changed to '	src/act.wizard.c:2989	buffered:sprintf	do_set
That is not a race.	src/act.wizard.c:3007	send_to_char	do_set
IP Address Host Name	src/act.wizard.c:3172	buffered:sprintf	do_dns
stops the senseless violence in the room with a wave of	src/act.wizard.c:3233	act	do_dark
You feel your soul wrenched as you are	src/act.wizard.c:3255	buffered:sprintf	do_home
disappears in a blaze of hellfire!	src/act.wizard.c:3262	buffered:sprintf	do_home
You're not godly enough for that room.	src/act.wizard.c:3287	send_to_char	do_home
Sorry, there are no objs in that zone.	src/act.wizard.c:3329	buffered:sprintf	do_olist
Objects found in Zone	src/act.wizard.c:3331	buffered:sprintf	do_olist
Sorry, there are no mobs in that zone.	src/act.wizard.c:3402	buffered:sprintf	do_mlist
Mobiles found in Zone	src/act.wizard.c:3404	buffered:sprintf	do_mlist
makes a magickal gesture, creating a bunch of equipment, and hands it to you!	src/act.wizard.c:3537	act	do_newbie
world/zon/	src/act.wizard.c:3558	buffered:sprintf	do_zlist
Checking load info for	src/act.wizard.c:3694	buffered:sprintf	check_load
Removed from room	src/act.wizard.c:3715	buffered:sprintf	check_load
Loaded to room	src/act.wizard.c:3759	buffered:sprintf	check_load
Equipped to	src/act.wizard.c:3779	buffered:sprintf	check_load
Given to	src/act.wizard.c:3791	buffered:sprintf	check_load
Removed from room	src/act.wizard.c:3804	buffered:sprintf	check_load
Doesn't load anywhere.	src/act.wizard.c:3816	send_to_char	check_load
No sites are banned.	src/ban.c:143	send_to_char	do_ban
Banned Site Name	src/ban.c:148	buffered:sprintf	do_ban
Ban Type	src/ban.c:149	buffered:sprintf	do_ban
Banned On	src/ban.c:150	buffered:sprintf	do_ban
Banned By	src/ban.c:151	buffered:sprintf	do_ban
Usage: ban {all | select | new} site_name	src/ban.c:175	send_to_char	do_ban
Flag must be ALL, SELECT, or NEW.	src/ban.c:179	send_to_char	do_ban
That site has already been banned -- unban it to change the ban type.	src/ban.c:184	send_to_char	do_ban
has banned	src/ban.c:205	buffered:sprintf	do_ban
players.	src/ban.c:205	buffered:sprintf	do_ban
Site banned.	src/ban.c:208	send_to_char	do_ban
A site to unban might help.	src/ban.c:221	send_to_char	do_unban
That site is not currently banned.	src/ban.c:233	send_to_char	do_unban
Site unbanned.	src/ban.c:237	send_to_char	do_unban
-player ban on	src/ban.c:238	buffered:sprintf	do_unban
removed the	src/ban.c:238	buffered:sprintf	do_unban
SYSERR: Fatal board error: board vnum	src/boards.c:155	buffered:sprintf	init_boards
does not exist!	src/boards.c:155	buffered:sprintf	init_boards
You are not holy enough to write on this board.	src/boards.c:221	send_to_char	Board_write_message
The board is full.	src/boards.c:225	send_to_char	Board_write_message
The board is malfunctioning - sorry.	src/boards.c:229	send_to_char	Board_write_message
We must have a headline!	src/boards.c:241	send_to_char	Board_write_message
The board is malfunctioning - sorry.	src/boards.c:254	send_to_char	Board_write_message
Write your message.	src/boards.c:261	send_to_char	Board_write_message
starts to write a message.	src/boards.c:263	act	Board_write_message
You try but fail to understand the holy words.	src/boards.c:290	send_to_char	Board_show_board
studies the board.	src/boards.c:293	act	Board_show_board
This is a bulletin board. Usage: READ/REMOVE <messg #>, WRITE <header>.	src/boards.c:296	buffered:strcpy	Board_show_board
You will need to look at the board to save your message.	src/boards.c:296	buffered:strcpy	Board_show_board
There are	src/boards.c:301	buffered:sprintf	Board_show_board
messages on the board.	src/boards.c:301	buffered:sprintf	Board_show_board
Sorry, the board isn't working.	src/boards.c:309	send_to_char	Board_show_board
You try but fail to understand the holy words.	src/boards.c:334	send_to_char	Board_display_msg
The board is empty!	src/boards.c:338	send_to_char	Board_display_msg
That message exists only in your imagination.	src/boards.c:342	send_to_char	Board_display_msg
Sorry, the board is not working.	src/boards.c:349	send_to_char	Board_display_msg
That message appears to be screwed up.	src/boards.c:354	send_to_char	Board_display_msg
That message seems to be empty.	src/boards.c:358	send_to_char	Board_display_msg
The board is empty!	src/boards.c:385	send_to_char	Board_remove_msg
That message exists only in your imagination.	src/boards.c:389	send_to_char	Board_remove_msg
That message appears to be screwed up.	src/boards.c:394	send_to_char	Board_remove_msg
You are not holy enough to remove other people's messages.	src/boards.c:400	send_to_char	Board_remove_msg
That message is majorly screwed up.	src/boards.c:414	send_to_char	Board_remove_msg
At least wait until the author is finished before removing it!	src/boards.c:419	send_to_char	Board_remove_msg
Message removed.	src/boards.c:435	send_to_char	Board_remove_msg
just removed message	src/boards.c:436	buffered:sprintf	Board_remove_msg
You've demoted within your clan!	src/clan.c:487	send_to_char	do_clan_demote
ooO Clans of Dark Pawns Ooo	src/clan.c:737	buffered:sprintf	do_clan_info
Members:	src/clan.c:741	buffered:sprintf	do_clan_info
Members:	src/clan.c:745	buffered:sprintf	do_clan_info
Info for the clan	src/clan.c:758	buffered:sprintf	do_clan_info
Titles :	src/clan.c:760	buffered:sprintf	do_clan_info
Members :	src/clan.c:763	buffered:sprintf	do_clan_info
Spells :	src/clan.c:763	buffered:sprintf	do_clan_info
Treasure :	src/clan.c:763	buffered:sprintf	do_clan_info
This clan is at peace with all others.	src/clan.c:777	send_to_char	do_clan_info
This clan is at war.	src/clan.c:779	send_to_char	do_clan_info
Application fee :	src/clan.c:780	buffered:sprintf	do_clan_info
Monthly Dues :	src/clan.c:780	buffered:sprintf	do_clan_info
Application level:	src/clan.c:782	buffered:sprintf	do_clan_info
clan account.	src/clan.c:965	buffered:sprintf	do_clan_bank
coins from	src/clan.c:965	buffered:sprintf	do_clan_bank
withdraws	src/clan.c:965	buffered:sprintf	do_clan_bank
clan account.	src/clan.c:976	buffered:sprintf	do_clan_bank
coins to	src/clan.c:976	buffered:sprintf	do_clan_bank
Magic User	src/class.c:69	table	
Assassin	src/class.c:75	table	
Ps[i]onic - Fighters endowed with the powers of the mind	src/class.c:87	table	
Select a class:	src/class.c:87	table	
[C]leric - Healers and warriors of the gods	src/class.c:87	table	
[M]agic-user - Spell-casters trained in the art of magick	src/class.c:87	table	
[T]hief - Stealthy, quick-fingered, lock-picking back-stabbers	src/class.c:87	table	
[W]arrior - Fierce, battle-trained fighters	src/class.c:87	table	
Choose your home town:	src/class.c:97	table	
Kir-[O]shi - The Port City.	src/class.c:97	table	
[A]laozar - The Holy City.	src/class.c:97	table	
[K]ir Drax'in - The Main City. New players should choose this.	src/class.c:97	table	
Ps[i]onic - Fighters endowed with the powers of the mind	src/class.c:105	table	
Select a class:	src/class.c:105	table	
[C]leric - Healers and warriors of the gods	src/class.c:105	table	
[M]agic-user - Spell-casters trained in the art of magick	src/class.c:105	table	
[N]inja - Stealthy, magick-endowed warriors from the orient	src/class.c:105	table	
[T]hief - Stealthy, quick-fingered, lock-picking back-stabbers	src/class.c:105	table	
[W]arrior - Fierce, battle-trained fighters	src/class.c:105	table	
advanced to level	src/class.c:714	table	
the Cleric	src/class.c:1083	table	
the Mage	src/class.c:1083	table	
the Magus	src/class.c:1083	table	
the Thief	src/class.c:1083	table	
the Warrior	src/class.c:1083	table	
the Assassin	src/class.c:1084	table	
the Avatar	src/class.c:1084	table	
the Ninja	src/class.c:1084	table	
the Paladin	src/class.c:1084	table	
the Psionic	src/class.c:1084	table	
the Mystic	src/class.c:1085	table	
the Ranger	src/class.c:1085	table	
SYSERR: Unknown option -	src/comm.c:216	buffered:sprintf	dp_main
in argument string.	src/comm.c:216	buffered:sprintf	dp_main
as data directory.	src/comm.c:240	buffered:sprintf	dp_main
Running game on port	src/comm.c:248	buffered:sprintf	dp_main
SYSERR: Non-positive max player limit! (Set at	src/comm.c:439	buffered:sprintf	get_max_players
Setting player limit to	src/comm.c:444	buffered:sprintf	get_max_players
You are too unhealthy to live!	src/comm.c:750	send_to_char	room_activity
croaks before your very eyes!	src/comm.c:751	act	room_activity
' weight incorrect, location '	src/comm.c:783	buffered:sprintf	object_activity
SYSERR: Object '	src/comm.c:783	buffered:sprintf	object_activity
sockets connected,	src/comm.c:915	buffered:sprintf	record_usage
sockets playing	src/comm.c:915	buffered:sprintf	record_usage
rusage: user time:	src/comm.c:924	buffered:sprintf	record_usage
sec, max res size:	src/comm.c:924	buffered:sprintf	record_usage
sec, system time:	src/comm.c:924	buffered:sprintf	record_usage
)ack, or page number (	src/comm.c:1044	buffered:sprintf	make_prompt
)efresh, (	src/comm.c:1044	buffered:sprintf	make_prompt
to continue, (	src/comm.c:1044	buffered:sprintf	make_prompt
INACTIVE	src/comm.c:1153	buffered:sprintf	make_prompt
DNS lookup failed on	src/comm.c:1553	buffered:sprintf	new_descriptor
Connection attempt denied from [	src/comm.c:1573	buffered:sprintf	new_descriptor
New connection from [	src/comm.c:1580	buffered:sprintf	new_descriptor
**OVERFLOW**	src/comm.c:1628	buffered:strcat	process_output
Line too long. Truncated to:	src/comm.c:1988	buffered:sprintf	process_input
Invalid substitution.	src/comm.c:2051	SEND_TO_Q	perform_subst
Invalid substitution.	src/comm.c:2060	SEND_TO_Q	perform_subst
Your victim is no longer among us.	src/comm.c:2103	SEND_TO_Q	close_socket
has lost	src/comm.c:2131	act	close_socket
Closing link to:	src/comm.c:2132	buffered:sprintf	close_socket
Losing player:	src/comm.c:2136	buffered:sprintf	close_socket
Timed out... goodbye.	src/comm.c:2183	SEND_TO_Q	check_idle_passwords
&RBroadcast:	src/comm.c:2545	buffered:sprintf	do_broadcast
not in the sky	src/constants.c:40	table	
one-quarter full(waxing)	src/constants.c:41	table	
half full(waxing)	src/constants.c:42	table	
three-quarters full(waxing)	src/constants.c:43	table	
three-quarters full(waning)	src/constants.c:45	table	
half full(waning)	src/constants.c:46	table	
one-quarter full(waning)	src/constants.c:47	table	
!Bad Hometown - Tell a God!	src/constants.c:53	table	
Kir Drax'in	src/constants.c:54	table	
Kir-Oshi	src/constants.c:55	table	
Add a new hometown here!	src/constants.c:57	table	
terrible	src/constants.c:63	table	
terrible	src/constants.c:64	table	
below average	src/constants.c:71	table	
very good	src/constants.c:78	table	
very good	src/constants.c:79	table	
excellent	src/constants.c:80	table	
excellent	src/constants.c:81	table	
superior	src/constants.c:82	table	
a few people	src/constants.c:96	table	
a few people	src/constants.c:97	table	
a group of people	src/constants.c:98	table	
a group of people	src/constants.c:99	table	
a large group of people	src/constants.c:100	table	
a large group of people	src/constants.c:101	table	
a large group of people	src/constants.c:102	table	
a large group of people	src/constants.c:103	table	
a crowd of people	src/constants.c:104	table	
a crowd of people	src/constants.c:105	table	
a crowd of people	src/constants.c:106	table	
a large crowd of people	src/constants.c:107	table	
a large crowd of people	src/constants.c:108	table	
a large mob	src/constants.c:109	table	
Kenderkin	src/constants.c:131	table	
Minotauran	src/constants.c:132	table	
Rakshasan	src/constants.c:133	table	
Rakshasa	src/constants.c:145	table	
Lycanthrope	src/constants.c:147	table	
Arachnid	src/constants.c:154	table	
Vegetable	src/constants.c:157	table	
Demi-god	src/constants.c:159	table	
Magical Construct	src/constants.c:165	table	
Amphibian	src/constants.c:166	table	
Humanoid	src/constants.c:167	table	
Minotaur	src/constants.c:170	table	
of a green dragon	src/constants.c:177	table	
in a tribal design	src/constants.c:178	table	
of a flaming skull	src/constants.c:179	table	
of a leaping tiger	src/constants.c:180	table	
of an ice worm	src/constants.c:181	table	
of an open eye	src/constants.c:182	table	
of crossed swords	src/constants.c:183	table	
of a screaming eagle	src/constants.c:184	table	
of a heart	src/constants.c:185	table	
of a star	src/constants.c:186	table	
of a ship	src/constants.c:187	table	
of a spider	src/constants.c:188	table	
of the symbol of the Jyhad	src/constants.c:189	table	
of the word 'MOM'	src/constants.c:190	table	
of an angel	src/constants.c:191	table	
of a fox	src/constants.c:192	table	
of an owl	src/constants.c:193	table	
Choose a race:	src/constants.c:197	table	
[?<race abbreviation>] Help on a specific race (i.e ?D for help on dwarves)	src/constants.c:197	table	
[?]Help on races in general	src/constants.c:197	table	
[H]uman [E]lven [D]warven [K]enderkin	src/constants.c:197	table	
[M]inotaur [R]akshasan [S]sauran	src/constants.c:197	table	
Attitudes: Humans abound, so they are often suspicious of other races and	src/constants.c:206	table	
Each race has its own language.	src/constants.c:206	table	
KENDER & HUMAN: fairly good everywhere.	src/constants.c:206	table	
Kender tend to 'acquire' other's objects unknowingly, and make excellent	src/constants.c:206	table	
MINOTAUR & ELF: forest DWARF: mountains	src/constants.c:206	table	
Magick resistance.: Elves and dwarves are a bit more hearty in this area.	src/constants.c:206	table	
RAKSHASA: desert SSAUR: swamplands	src/constants.c:206	table	
The type of terrain you see best in:	src/constants.c:206	table	
Your race is pretty much class independant; it affects innate abilities such	src/constants.c:206	table	
give preferential treatment to their own kind.	src/constants.c:206	table	
thieves. Only humans can belong to the ninja class.	src/constants.c:206	table	
Humans are the most common race on this world, and come in all sorts of shapes	src/constants.c:221	table	
They adapt easily to most climes, allowing them to build cities in almost any	src/constants.c:221	table	
and sizes. The appearance of humans are not the only thing that varies about	src/constants.c:221	table	
are the only race that can become ninjas, the dangerous oriental mercenaries.	src/constants.c:221	table	
location.	src/constants.c:221	table	
most you shall find on your adventures are neutral, and will just mind their	src/constants.c:221	table	
own business and pay no attention to the affairs of adventurers. Also, humans	src/constants.c:221	table	
them, though, some are evil as sin, while others are good as good can be, but	src/constants.c:221	table	
Dwarves also have much in common with the rocks and gems they love to work,	src/constants.c:239	table	
Dwarves are a noble race of demihumans who dwell under the earth, forging	src/constants.c:239	table	
as well.	src/constants.c:239	table	
brown. Their hair is usually black, grey, or brown, and worn long, though not	src/constants.c:239	table	
for they are both hard and unyielding. It's often been said that it's easier	src/constants.c:239	table	
great cities and waging massive wars against the forces of chaos and evil.	src/constants.c:239	table	
have ruddy cheeks and bright eyes. Their skin is typically deep tan or light	src/constants.c:239	table	
long enough to impair vision in any way. They favor long beards and moustaches	src/constants.c:239	table	
of four-and-a-half feet tall, dwarves tend to be stocky and muscular. They	src/constants.c:239	table	
to make a stone weep than it is to change a dwarf's mind. Standing an average	src/constants.c:239	table	
Elves have learned that it is very important to understand the creatures, both	src/constants.c:261	table	
Though their lives span several human generations, elves appear at first	src/constants.c:261	table	
chiseled features. Elves have very pale complextions, which is odd because	src/constants.c:261	table	
fragile. Though they are not as sturdy as humans, elves are much more agile.	src/constants.c:261	table	
glance to be frail when compared to man, due to their delicate and finely	src/constants.c:261	table	
good and evil, that share their forest homes.	src/constants.c:261	table	
they spend a great deal of time outdoors. They tend to be slim, almost	src/constants.c:261	table	
Kender are small, kind, but somewhat annoying, elf-like beings that have	src/constants.c:277	table	
a typical human. Kender are utterly fearless, insatiably curious, unstoppably	src/constants.c:277	table	
and most are found just wandering throughout the lands, exploring. Although	src/constants.c:277	table	
been known to steal from friends and enemies alike. They act much like humans,	src/constants.c:277	table	
but four things make a kender's personality drastically different from that of	src/constants.c:277	table	
for stealing, and occasionally, without even noticing it sometimes, they have	src/constants.c:277	table	
mobile and independant, and will pick up anything that is not nailed down.	src/constants.c:277	table	
recently spread across the globe. They do not seem to have any sort of kingdom	src/constants.c:277	table	
some are trained thieves, the whole of the kender race seems to have a knack	src/constants.c:277	table	
Minotaurs are either cursed humans or the offspring of minotaurs and humans.	src/constants.c:298	table	
The color of their fur ranges from brown to black, while their body coloring	src/constants.c:298	table	
They are usually found dwelling in underground labyrinths, for they seem to	src/constants.c:298	table	
a human male, there have been accounts of female minotaurs, but they are rare.	src/constants.c:298	table	
beneath the earth, it is noted that they also see very well in forests.	src/constants.c:298	table	
broad bodies ripple with muscles. They have the head of a bull but the body of	src/constants.c:298	table	
have an innate ability to manuver in these places, and do not often lose their	src/constants.c:298	table	
sense of direction. Minotaurs are huge, well over seven feet tall, and their	src/constants.c:298	table	
varies, as would a normal human's. Although they usually dwell in mazes	src/constants.c:298	table	
Rakshasas are a race of malevolent spirits encased in flesh that hunt and	src/constants.c:318	table	
are the embodiment of nightmares. The only way to describe their form is that	src/constants.c:318	table	
body. Most of the worlds rakshasa are evil, but recently many have decided to	src/constants.c:318	table	
retain their fondness towards the great sandy wastes of their homeland.	src/constants.c:318	table	
stop their tyrannical living and become adventurers, although they still	src/constants.c:318	table	
they are humanoid tigers, with hands whose palms curve backward, away from the	src/constants.c:318	table	
torment humanity. No one knows where these creatures originate, some say they	src/constants.c:318	table	
Ssaurs are a relatively new race in the world. They are a more evolved type of	src/constants.c:334	table	
been known to adventure far away from their homes.	src/constants.c:334	table	
for that are shunned from the lizardman tribes, and the few that are born into	src/constants.c:334	table	
intelligence, they appear to be the same as lizardman, although less evil-	src/constants.c:334	table	
lizardman, and most are more intelligent than their aggressive ancestors, and	src/constants.c:334	table	
looking. Ssaurs spend most of their lives in swamps and marshes, but some have	src/constants.c:334	table	
those tribes are cast out almost as soon as they are hatched. Other than the	src/constants.c:334	table	
PEACEFUL	src/constants.c:383	table	
SOUNDPROOF	src/constants.c:384	table	
REGENROOM	src/constants.c:397	table	
NO_WHO_ROOM	src/constants.c:398	table	
FLOW_NORTH	src/constants.c:400	table	
FLOW_SOUTH	src/constants.c:401	table	
FLOW_EAST	src/constants.c:402	table	
FLOW_WEST	src/constants.c:403	table	
FLOW_DOWN	src/constants.c:405	table	
PICKPROOF	src/constants.c:415	table	
Mountains	src/constants.c:427	table	
Water (Swim)	src/constants.c:428	table	
Water (No Swim)	src/constants.c:429	table	
Underwater	src/constants.c:430	table	
In Flight	src/constants.c:431	table	
Mortally wounded	src/constants.c:454	table	
Incapacitated	src/constants.c:455	table	
Sleeping	src/constants.c:457	table	
Fighting	src/constants.c:460	table	
Standing	src/constants.c:461	table	
SENTINEL	src/constants.c:496	table	
SCAVENGER	src/constants.c:497	table	
STAY-ZONE	src/constants.c:501	table	
AGGR_EVIL	src/constants.c:503	table	
AGGR_GOOD	src/constants.c:504	table	
AGGR_NEUTRAL	src/constants.c:505	table	
RNDLD_ZONE	src/constants.c:515	table	
MOUNTABLE	src/constants.c:516	table	
AUTOLOOT	src/constants.c:549	table	
AUTOGOLD	src/constants.c:550	table	
AUTOSPLIT	src/constants.c:551	table	
D_TARGET	src/constants.c:553	table	
INACTIVE	src/constants.c:555	table	
ONPULSE (ALL)	src/constants.c:570	table	
ONPULSE (PC)	src/constants.c:571	table	
DET-ALIGN	src/constants.c:600	table	
DET-INVIS	src/constants.c:601	table	
DET-MAGIC	src/constants.c:602	table	
SENSE-LIFE	src/constants.c:603	table	
WATERWALK	src/constants.c:604	table	
PROT-EVIL	src/constants.c:610	table	
PROT-GOOD	src/constants.c:611	table	
FLESH-ALTER	src/constants.c:614	table	
KUJI-KIRI	src/constants.c:622	table	
CUTTHROAT	src/constants.c:623	table	
WEREWOLF	src/constants.c:625	table	
WATERBREATHE	src/constants.c:634	table	
METALSKIN	src/constants.c:635	table	
invisibility	src/constants.c:648	table	
detect alignment	src/constants.c:649	table	
detect invisibility	src/constants.c:650	table	
detect magic	src/constants.c:651	table	
sense life	src/constants.c:652	table	
waterwalk	src/constants.c:653	table	
sanctuary	src/constants.c:654	table	
infravision	src/constants.c:657	table	
protection from evil	src/constants.c:659	table	
protection from good	src/constants.c:660	table	
no track	src/constants.c:662	table	
flesh alter	src/constants.c:663	table	
kuji-kiri	src/constants.c:671	table	
cutthroat	src/constants.c:672	table	
werewolf	src/constants.c:674	table	
invulnerability	src/constants.c:677	table	
waterbreathe	src/constants.c:683	table	
metalskin	src/constants.c:684	table	
Disconnecting	src/constants.c:691	table	
Get name	src/constants.c:692	table	
Confirm name	src/constants.c:693	table	
Get password	src/constants.c:694	table	
Get new PW	src/constants.c:695	table	
Confirm new PW	src/constants.c:696	table	
Select sex	src/constants.c:697	table	
Select class	src/constants.c:698	table	
Reading MOTD	src/constants.c:699	table	
Main Menu	src/constants.c:700	table	
Get descript.	src/constants.c:701	table	
Changing PW 1	src/constants.c:702	table	
Changing PW 2	src/constants.c:703	table	
Changing PW 3	src/constants.c:704	table	
Self-Delete 1	src/constants.c:705	table	
Self-Delete 2	src/constants.c:706	table	
Object edit	src/constants.c:707	table	
Room edit	src/constants.c:708	table	
Zone edit	src/constants.c:709	table	
Mobile edit	src/constants.c:710	table	
Shop edit	src/constants.c:711	table	
Ident conning	src/constants.c:712	table	
Ident conned	src/constants.c:713	table	
Ident reading	src/constants.c:714	table	
Ident read	src/constants.c:715	table	
Asking name	src/constants.c:716	table	
Asking race	src/constants.c:717	table	
Asking color	src/constants.c:718	table	
Getting hometown	src/constants.c:719	table	
Rolling abilities 1	src/constants.c:720	table	
Rolling abilities 2	src/constants.c:721	table	
<used as light>	src/constants.c:728	table	
<worn on finger>	src/constants.c:729	table	
<worn on finger>	src/constants.c:730	table	
<worn around neck>	src/constants.c:731	table	
<worn around neck>	src/constants.c:732	table	
<worn on body>	src/constants.c:733	table	
<worn on head>	src/constants.c:734	table	
<worn on legs>	src/constants.c:735	table	
<worn on feet>	src/constants.c:736	table	
<worn on hands>	src/constants.c:737	table	
<worn on arms>	src/constants.c:738	table	
<worn as shield>	src/constants.c:739	table	
<worn about body>	src/constants.c:740	table	
<worn about waist>	src/constants.c:741	table	
<worn around wrist>	src/constants.c:742	table	
<worn around wrist>	src/constants.c:743	table	
<wielded>	src/constants.c:744	table	
<worn about legs>	src/constants.c:747	table	
<worn on face>	src/constants.c:748	table	
<hovering near head>	src/constants.c:749	table	
Used as light	src/constants.c:755	table	
Worn on right finger	src/constants.c:756	table	
Worn on left finger	src/constants.c:757	table	
First worn around Neck	src/constants.c:758	table	
Second worn around Neck	src/constants.c:759	table	
Worn on body	src/constants.c:760	table	
Worn on head	src/constants.c:761	table	
Worn on legs	src/constants.c:762	table	
Worn on feet	src/constants.c:763	table	
Worn on hands	src/constants.c:764	table	
Worn on arms	src/constants.c:765	table	
Worn as shield	src/constants.c:766	table	
Worn about body	src/constants.c:767	table	
Worn around waist	src/constants.c:768	table	
Worn around right wrist	src/constants.c:769	table	
Worn around left wrist	src/constants.c:770	table	
Wielded for throwing	src/constants.c:773	table	
Worn about legs	src/constants.c:774	table	
Worn on face	src/constants.c:775	table	
Hovering near head	src/constants.c:776	table	
UNDEFINED	src/constants.c:783	table	
FIRE WEAPON	src/constants.c:789	table	
TREASURE	src/constants.c:791	table	
CONTAINER	src/constants.c:798	table	
LIQ CONTAINER	src/constants.c:800	table	
FOUNTAIN	src/constants.c:806	table	
TWOHANDS	src/constants.c:866	table	
CHAR_WEIGHT	src/constants.c:883	table	
CHAR_HEIGHT	src/constants.c:884	table	
SAVING_PARA	src/constants.c:893	table	
SAVING_ROD	src/constants.c:894	table	
SAVING_PETRI	src/constants.c:895	table	
SAVING_BREATH	src/constants.c:896	table	
SAVING_SPELL	src/constants.c:897	table	
RACE_HATE	src/constants.c:898	table	
HIT_REGEN	src/constants.c:899	table	
MANA_REGEN	src/constants.c:900	table	
MOVE_REGEN	src/constants.c:901	table	
PERM_SPELL	src/constants.c:902	table	
CLOSEABLE	src/constants.c:909	table	
PICKPROOF	src/constants.c:910	table	
dark ale	src/constants.c:924	table	
lemonade	src/constants.c:926	table	
